deployment_id,event_message,execution_id,execution_time_ms,function_id,id,method,pathname,status_code,timestamp,version
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,162e9f76-1009-425e-b650-ecc8eb8d5515,142,0751d2fd-7a7a-480b-9d27-f44a212a5be5,2b98b060-7423-4070-8850-e9cff317e820,POST,/functions/v1/process-broadcast-notifications,401,1776012180596000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,bfd1b914-d4ff-4150-b09b-ff50348b9186,247,0751d2fd-7a7a-480b-9d27-f44a212a5be5,83ffe45d-c6c9-4135-847f-3a26c76e12c4,POST,/functions/v1/process-broadcast-notifications,401,1776012120847000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,a2d842ea-f652-4ca5-a82c-c2b1b6232895,112,0751d2fd-7a7a-480b-9d27-f44a212a5be5,7d9fb40c-4be0-496c-9bba-c4c75207dcd7,POST,/functions/v1/process-broadcast-notifications,401,1776012060698000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,262bdbf8-da8f-4cd7-b76f-10bdbc9fcb3e,129,0751d2fd-7a7a-480b-9d27-f44a212a5be5,f52e084b-6320-4655-a1b0-2fd76b89d097,POST,/functions/v1/process-broadcast-notifications,401,1776012000217000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,b1e89247-1eff-4c55-b935-786ea1ea6a9a,146,0751d2fd-7a7a-480b-9d27-f44a212a5be5,43c412cd-dac5-47b5-9d30-afb7303b76ff,POST,/functions/v1/process-broadcast-notifications,401,1776011940651000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,1052dcb9-903f-4e7b-ace3-19462dd7d4ba,375,0751d2fd-7a7a-480b-9d27-f44a212a5be5,83180401-9228-45be-8fb7-5fe075a23047,POST,/functions/v1/process-broadcast-notifications,401,1776011880803000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,b32f4918-011a-4d05-8d50-556178c9cf54,180,0751d2fd-7a7a-480b-9d27-f44a212a5be5,237874ea-03ec-445a-9b6a-cce7259288ad,POST,/functions/v1/process-broadcast-notifications,401,1776011820560000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,8ee30346-0b87-4778-b5bd-1dbcf52f8d52,89,0751d2fd-7a7a-480b-9d27-f44a212a5be5,b247615c-322c-41ec-8fc0-804e64351091,POST,/functions/v1/process-broadcast-notifications,401,1776011760627000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,5823b689-8223-40b8-acb7-8ce8a6043019,86,0751d2fd-7a7a-480b-9d27-f44a212a5be5,e5b49b98-0e69-4645-8c97-e4d065cc89af,POST,/functions/v1/process-broadcast-notifications,401,1776011700713000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,c16b2969-8c66-4ee3-a45b-388fbebd8a60,111,0751d2fd-7a7a-480b-9d27-f44a212a5be5,2e676426-4ec1-4738-99dc-1a597a9ff676,POST,/functions/v1/process-broadcast-notifications,401,1776011643424000,2
