kind,routePath,concretePath,url,outcome,ok,status,statusText,redirectedTo,contentType,error,bodySample,checkedAt,sourceFile,localhostUrl,orgSubdomainUrl,adminHostUrl
api,/api/admin/custom-roles/[roleId],/api/admin/custom-roles/example,http://localhost:3000/api/admin/custom-roles/example,accessDenied,false,401,Unauthorized,,application/json,,"{""error"":""Unauthorized""}",2026-05-01T09:51:47.952Z,apps/web/src/app/api/admin/custom-roles/[roleId]/route.ts,http://localhost:3000/api/admin/custom-roles/example,http://demo.localhost:3000/api/admin/custom-roles/example,http://admin.localhost:3000/api/admin/custom-roles/example
api,/api/admin/invite-member,/api/admin/invite-member,http://localhost:3000/api/admin/invite-member,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:48.442Z,apps/web/src/app/api/admin/invite-member/route.ts,http://localhost:3000/api/admin/invite-member,http://demo.localhost:3000/api/admin/invite-member,http://admin.localhost:3000/api/admin/invite-member
api,/api/admin/job-applications/[id]/cv,/api/admin/job-applications/example/cv,http://localhost:3000/api/admin/job-applications/example/cv,accessDenied,false,401,Unauthorized,,text/plain;charset=UTF-8,,Unauthorized,2026-05-01T09:51:48.666Z,apps/web/src/app/api/admin/job-applications/[id]/cv/route.ts,http://localhost:3000/api/admin/job-applications/example/cv,http://demo.localhost:3000/api/admin/job-applications/example/cv,http://admin.localhost:3000/api/admin/job-applications/example/cv
api,/api/admin/members/assign-role,/api/admin/members/assign-role,http://localhost:3000/api/admin/members/assign-role,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:49.158Z,apps/web/src/app/api/admin/members/assign-role/route.ts,http://localhost:3000/api/admin/members/assign-role,http://demo.localhost:3000/api/admin/members/assign-role,http://admin.localhost:3000/api/admin/members/assign-role
api,/api/admin/members/assignable-roles,/api/admin/members/assignable-roles,http://localhost:3000/api/admin/members/assignable-roles,accessDenied,false,401,Unauthorized,,application/json,,"{""error"":""Unauthorized""}",2026-05-01T09:51:49.395Z,apps/web/src/app/api/admin/members/assignable-roles/route.ts,http://localhost:3000/api/admin/members/assignable-roles,http://demo.localhost:3000/api/admin/members/assignable-roles,http://admin.localhost:3000/api/admin/members/assignable-roles
api,/api/admin/members/delete,/api/admin/members/delete,http://localhost:3000/api/admin/members/delete,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:49.829Z,apps/web/src/app/api/admin/members/delete/route.ts,http://localhost:3000/api/admin/members/delete,http://demo.localhost:3000/api/admin/members/delete,http://admin.localhost:3000/api/admin/members/delete
api,/api/admin/members/[userId]/permission-overrides,/api/admin/members/example/permission-overrides,http://localhost:3000/api/admin/members/example/permission-overrides,accessDenied,false,401,Unauthorized,,application/json,,"{""error"":""Unauthorized""}",2026-05-01T09:51:50.100Z,apps/web/src/app/api/admin/members/[userId]/permission-overrides/route.ts,http://localhost:3000/api/admin/members/example/permission-overrides,http://demo.localhost:3000/api/admin/members/example/permission-overrides,http://admin.localhost:3000/api/admin/members/example/permission-overrides
api,/api/admin/members/update-departments,/api/admin/members/update-departments,http://localhost:3000/api/admin/members/update-departments,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:52.381Z,apps/web/src/app/api/admin/members/update-departments/route.ts,http://localhost:3000/api/admin/members/update-departments,http://demo.localhost:3000/api/admin/members/update-departments,http://admin.localhost:3000/api/admin/members/update-departments
api,/api/admin/members/update-reports-to,/api/admin/members/update-reports-to,http://localhost:3000/api/admin/members/update-reports-to,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:52.615Z,apps/web/src/app/api/admin/members/update-reports-to/route.ts,http://localhost:3000/api/admin/members/update-reports-to,http://demo.localhost:3000/api/admin/members/update-reports-to,http://admin.localhost:3000/api/admin/members/update-reports-to
api,/api/admin/permissions/bootstrap,/api/admin/permissions/bootstrap,http://localhost:3000/api/admin/permissions/bootstrap,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:52.856Z,apps/web/src/app/api/admin/permissions/bootstrap/route.ts,http://localhost:3000/api/admin/permissions/bootstrap,http://demo.localhost:3000/api/admin/permissions/bootstrap,http://admin.localhost:3000/api/admin/permissions/bootstrap
api,/api/admin/resend-access-email,/api/admin/resend-access-email,http://localhost:3000/api/admin/resend-access-email,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:53.094Z,apps/web/src/app/api/admin/resend-access-email/route.ts,http://localhost:3000/api/admin/resend-access-email,http://demo.localhost:3000/api/admin/resend-access-email,http://admin.localhost:3000/api/admin/resend-access-email
api,/api/admin/roles,/api/admin/roles,http://localhost:3000/api/admin/roles,accessDenied,false,401,Unauthorized,,application/json,,"{""error"":""Unauthorized""}",2026-05-01T09:51:53.331Z,apps/web/src/app/api/admin/roles/route.ts,http://localhost:3000/api/admin/roles,http://demo.localhost:3000/api/admin/roles,http://admin.localhost:3000/api/admin/roles
